role,title,company,sql,excel,power bi,tableau,python,statistics,data analytics,machine learning,data visualization,etl,communication,problem solving
business-analyst,content creation,bullz ad,0,0,0,0,0,0,0,0,0,0,0,0
business-analyst,digital marketing,time cyber media private limited,0,0,0,0,0,0,0,0,0,0,1,0
business-analyst,social media marketing,thecoinrepublic,0,0,0,0,0,0,0,0,0,0,0,0
business-analyst,college cat captain | campus ambassador (examduo ai),prepgenie,0,0,0,0,0,0,0,0,0,0,1,0
data-science,business analytics,career-domain,1,1,0,0,1,0,1,0,0,0,1,0
data-science,marketing - performance & growth,the house of vraj:bhoomi,0,1,0,0,0,0,0,0,0,0,1,0
data-science,data analytics,venkatesh,1,1,1,0,1,0,1,0,0,0,0,0
data-science,ai tools & onboarding or ai automation  — onboarding & integrations,whatsmarketing,0,0,0,0,0,0,0,0,0,0,1,1
data-science,market research- (tamil),peppergami food labs private limited,0,0,0,0,0,0,0,0,0,0,1,0
data-science,ai voice bot implementer,markytics,0,1,0,0,0,0,0,0,0,0,1,0
data-science,voice data collection freelancing (25 - 45 years) - english,indika ai private limited,0,1,0,0,0,0,0,0,0,0,1,0
data-science,trainee - consumer insights,bookmyshow,0,1,0,0,0,0,0,0,0,0,0,0
data-science,market research,vee tech bytes private limited,0,1,0,0,0,0,0,0,0,0,1,0
data-science,performance marketing,machau bamboo products private limited (bamboostan),0,0,0,0,0,0,0,0,0,0,0,0
data-science,ai chatbot development and integration,tdk india private limited,0,0,0,0,0,0,0,0,0,0,0,0
data-science,phd research sciences intern,microsoft,0,0,0,0,1,0,1,1,0,0,0,0
data-science,ai engineer (agents & orchestration),webbybutter technologies,0,0,0,0,1,0,0,1,0,0,0,0
data-science,research analyst trainee,humanhire corp,0,0,0,0,0,0,1,0,0,0,0,0
data-science,ai research engineer,vega visionary training fze,0,0,0,0,0,1,0,1,0,0,0,0
data-science,devops engineer,vega visionary training fze,0,0,0,0,0,0,0,1,0,0,0,0
data-science,kpo (knowledge process outsourcing),tsteps private limited,0,0,0,0,0,0,0,0,0,0,0,1
data-science,intellectual property rights (ipr),gray mobility,0,0,0,0,0,0,0,0,0,0,1,0
data-science,data annotator - multilingual,tanumanasa research private limited,0,0,0,0,0,0,0,0,0,0,0,0
data-science,artificial intelligence (ai),toptrove foundation,0,0,0,0,0,0,0,0,0,0,0,0
data-science,digital preservation of telugu literary heritage,iiit hyderabad,0,0,0,0,0,0,0,0,0,0,0,0
data-science,equity advisor/business development,angel broking limited,0,0,0,0,0,0,0,0,0,0,0,0
data-science,seo & performance marketing executive,yourlawplace,0,0,0,0,0,0,0,0,0,0,0,0
data-science,elearning design & developement ai,keenmind designs,0,0,0,0,0,0,0,0,0,0,0,0
data-science,studio operations & photography,photongraphy labs,0,0,0,0,0,0,0,0,0,0,0,0
data-science,ai video creation,videoagency,0,0,0,0,0,0,0,0,0,0,0,0
